time,open,high,low,close,tick_volume,spread,real_volume
2025-01-01 00:00:00,2623.3,2624.12,2622.95,2624.08,305,5,0
2025-01-01 00:10:00,2624.08,2624.3,2623.87,2624.15,128,5,0
2025-01-01 00:20:00,2624.15,2624.23,2623.62,2624.14,127,6,0
2025-01-01 00:30:00,2624.14,2624.46,2623.9,2624.38,163,12,0
2025-01-01 00:40:00,2624.38,2624.88,2624.11,2624.23,193,8,0
2025-01-01 00:50:00,2624.25,2624.61,2623.74,2624.41,189,20,0
2025-01-02 02:00:00,2625.74,2626.15,2624.41,2625.18,461,5,0
2025-01-02 02:10:00,2625.25,2625.34,2624.21,2624.3,314,10,0
2025-01-02 02:20:00,2624.39,2624.39,2623.48,2623.7,357,16,0
2025-01-02 02:30:00,2623.7,2623.91,2622.81,2622.94,331,5,0
2025-01-02 02:40:00,2622.93,2623.34,2621.7,2623.12,361,5,0
2025-01-02 02:50:00,2623.13,2624.45,2623.11,2623.76,280,10,0
2025-01-02 03:00:00,2623.86,2625.5,2622.78,2625.5,435,5,0
2025-01-02 03:10:00,2625.52,2626.27,2625.19,2625.74,585,6,0
2025-01-02 03:20:00,2625.74,2626.57,2625.62,2626.4,384,5,0
2025-01-02 03:30:00,2626.4,2626.59,2625.49,2626.41,383,9,0
2025-01-02 03:40:00,2626.54,2627.92,2626.14,2626.84,547,5,0
2025-01-02 03:50:00,2626.88,2627.54,2625.37,2625.49,743,4,0
2025-01-02 04:00:00,2625.49,2630.46,2623.86,2629.62,2682,1,0
2025-01-02 04:10:00,2629.6,2632.04,2629.44,2631.48,1665,6,0
2025-01-02 04:20:00,2631.47,2633.04,2629.94,2632.64,1539,6,0
2025-01-02 04:30:00,2632.63,2634.49,2632.62,2633.27,1402,7,0
2025-01-02 04:40:00,2633.26,2634.02,2631.88,2632.32,1270,1,0
2025-01-02 04:50:00,2632.32,2633.46,2631.68,2633.07,1450,5,0
2025-01-02 05:00:00,2633.07,2634.85,2632.68,2634.33,1442,5,0
2025-01-02 05:10:00,2634.36,2634.85,2633.53,2634.35,960,5,0
2025-01-02 05:20:00,2634.35,2636.58,2634.13,2635.71,833,5,0
2025-01-02 05:30:00,2635.53,2635.84,2634.17,2635.46,1428,2,0
2025-01-02 05:40:00,2635.45,2635.49,2632.37,2633.02,1797,5,0
2025-01-02 05:50:00,2633.02,2635.4,2632.69,2634.76,1280,5,0
2025-01-02 06:00:00,2634.78,2635.41,2633.59,2633.89,1313,5,0
2025-01-02 06:10:00,2633.86,2634.12,2633.04,2633.55,1425,5,0
2025-01-02 06:20:00,2633.54,2634.83,2633.15,2633.49,1267,2,0
2025-01-02 06:30:00,2633.41,2634.3,2632.36,2632.45,1172,6,0
2025-01-02 06:40:00,2632.44,2633.89,2632.35,2633.36,566,5,0
