time,open,high,low,close,volume
2025.05.09 21:00:00,1.12619,1.12663,1.12546,1.12589,1380
2025.05.09 22:00:00,1.12585,1.126,1.12487,1.12572,1146
2025.05.09 23:00:00,1.12564,1.12573,1.12466,1.12476,599
2025.05.12 00:00:00,1.11942,1.12233,1.11921,1.1211,440
2025.05.12 01:00:00,1.12107,1.12316,1.12081,1.12254,2146
2025.05.12 02:00:00,1.1225,1.12363,1.12231,1.1228,1568
2025.05.12 03:00:00,1.12287,1.12392,1.12251,1.12387,2918
2025.05.12 04:00:00,1.12385,1.12428,1.12223,1.12259,3482
2025.05.12 05:00:00,1.1226,1.12379,1.12252,1.12285,2261
2025.05.12 06:00:00,1.12289,1.12342,1.12251,1.12332,1927
2025.05.12 07:00:00,1.12329,1.12347,1.12262,1.12275,1357
2025.05.12 08:00:00,1.12281,1.123,1.12137,1.12221,1905
2025.05.12 09:00:00,1.12222,1.1236,1.12162,1.12178,3234
2025.05.12 10:00:00,1.1218,1.12188,1.1098,1.11051,9531
2025.05.12 11:00:00,1.11048,1.11454,1.10826,1.11376,6700
2025.05.12 12:00:00,1.11371,1.11419,1.11147,1.11187,4410
2025.05.12 13:00:00,1.11183,1.11184,1.10722,1.10796,5014
2025.05.12 14:00:00,1.10794,1.11176,1.10771,1.11113,4678
2025.05.12 15:00:00,1.11112,1.11263,1.11006,1.11135,4165
2025.05.12 16:00:00,1.11136,1.11346,1.11102,1.11189,4623
2025.05.12 17:00:00,1.11185,1.11342,1.11074,1.11116,5635
2025.05.12 18:00:00,1.11118,1.11238,1.11004,1.1105,3662
2025.05.12 19:00:00,1.11053,1.1111,1.10838,1.10847,2956
2025.05.12 20:00:00,1.10847,1.10885,1.10727,1.10791,2103
2025.05.12 21:00:00,1.10792,1.10913,1.10654,1.10896,2499
2025.05.12 22:00:00,1.10894,1.10968,1.10826,1.10923,1939
2025.05.12 23:00:00,1.10922,1.10947,1.10834,1.10834,1160
2025.05.13 00:00:00,1.10832,1.109,1.10832,1.10875,437
